// 20k words/01
的	de5
射击	she4ji1
护理	hu4li3
痕迹	hen2ji4
棚	peng2
闪烁	shan3shuo4
妇联	fu4lian2
仲裁	zhong4cai2
言论	yan2lun4
戒	jie4
英勇	ying1yong3
信用社	xin4yong4she4
拆除	chai1chu2
箱子	xiang1zi5
剧目	ju4mu4
不堪	bu4kan1
分行	fen1hang2
党性	dang3xing4
抗旱	kang4han4
东风	dong1feng1
实体	shi2ti3
树林	shu4lin2
昨晚	zuo2wan3
自称	zi4cheng1
肌肉	ji1rou4
赔	pei2
忧虑	you1lü4
电视机	dian4shi4ji1
老头子	lao3tou2zi5
侵权	qin1quan2
务必	wu4bi4
延续	yan2xu4
叶子	ye4zi5
尤为	you2wei2
折磨	zhe2mo2
身材	shen1cai2
宣告	xuan1gao4
界限	jie4xian4
坐位	zuo4wei4
座位	zuo4wei4
大片	da4pian1
麦	mai4
哟	yo1
进度	jin4du4
根源	gen1yuan2
听众	ting1zhong4
和解	he2jie3
互助	hu4zhu4
牙齿	ya2chi3
咖啡	ka1fei1
原谅	yuan2liang4
排列	pai2lie4
冲动	chong1dong4
演变	yan3bian4
衣裳	yi1shang5
囊	nang2
相处	xiang1chu3
靠近	kao4jin4
汇率	hui4lü4
热潮	re4chao2
押	ya1
范畴	fan4chou2
通俗	tong1su2
严禁	yan2jin4
鉴于	jian4yu2
下游	xia4you2
下属	xia4shu3
振奋	zhen4fen4
束缚	shu4fu4
困扰	kun4rao3
月光	yue4guang1
封锁	feng1suo3
免疫	mian3yi4
火星	huo3xing1
以致	yi3zhi4
报社	bao4she4
岂不	qi3bu4
抢险	qiang3xian3
日元	Ri4yuan2
频率	pin2lü4
播种	bo1zhong4
个个	ge4ge4
数目	shu4mu4
前线	qian2xian4
歌唱	ge1chang4
房门	fang2men2
心声	xin1sheng1
计划经济	ji4hua4 jing1ji4
进军	jin4jun1
压缩	ya1suo1
屯	tun2
灰色	hui1se4
场	chang3
防护	fang2hu4
数额	shu4’e2
职位	zhi2wei4
电报	dian4bao4
黄土	huang2tu3
责任人	ze2ren4ren2
银川	Yin2chuan1
厂商	chang3shang1
某个	mou3ge4
颤	chan4
查询	cha2xun2
犹豫	you2yu4
作主	zuo4zhu3
做主	zuo4zhu3
危	wei1
综合国力	zong1he2 guo2li4
合力	he2li4
高等	gao1deng3
恋	lian4
人情	ren2qing2
伙子	huo3zi5
备案	bei4an4
频道	pin2dao4
罪犯	zui4fan4
康复	kang1fu4
疫苗	yi4miao2
内政	nei4zheng4
台北	Tai2bei3
彩电	cai3dian4
门槛	men2kan3
下班	xia4ban1
窃	qie4
神奇	shen2qi2
谈论	tan1lun4
团伙	tuan2huo3
大使馆	da4shi3guan3
供电	gong1dian4
舅舅	jiu4jiu5
唱歌	chang4ge1
加之	jia1zhi1
牧	mu4
巡逻	xun2luo2
抢劫	qiang3jie2
肺	fei4
反腐倡廉	fan3fu3chang4lian2
昏	hun1
试行	shi4xing2
反思	fan3si1
地步	di4bu4
大雨	da4yu3
落	luo4
降	jiang4
滞后	zhi4hou4
生产线	sheng1chan3xian4
核武器	he2wu3qi4
中断	zhong1duan4
无声	wu2sheng1
大好	da4hao3
谨慎	jin3shen4
拢	long3
身份证	shen1fen4zheng4
指挥部	zhi3hui1bu4
演唱	yan3chang4
自发	zi4fa1
郊区	jiao1qu1
署	shu3
市里	shi4li3
贪	tan1
首长	shou3zhang3
农资	nong2zi1
搬迁	ban1qian1
供求	gong1qiu2
至关重要	zhi4guan1zhong4yao4
捆	kun3
辅导	fu3dao3
触	chu4
老虎	lao3hu3
演奏	yan3zou4
鲁	lu3
贵阳	Gui4yang2
披露	pi1lu4
贫穷	pin2qiong2
吸取	xi1qu3
屏幕	ping2mu4
上空	shang4kong1
伞	san3
不要紧	bu2yao4jin3
打断	da3duan4
出动	chu1dong4
壶	hu2
显现	xian3xian4
而后	er2hou4
历	li4
三角	san1jiao3
假若	jia3ruo4
旅行社	lü3xing2she4
覆盖率	fu4gai4lü4
索性	suo3xing4
窜	cuan4
暗暗	an4an4
紧迫	jin3po4
签名	qian1ming2
波动	bo1dong4
觉悟	jue2wu4
说服	shuo1fu2
一点儿	yi4dian3r5
自觉性	zi4jue2xing4
频频	pin2pin2
无意	wu2yi4
挪	nuo2
正月	zheng1yue4
妨碍	fang2’ai4
聊天	liao2tian1
不由得	bu4you2de5
瞒	man2
暗中	an4zhong1
贷	dai4
侯	hou2
参谋	can1mou2
从容	cong2rong2
山坡	shan1po1
坟	fen2
司令员	si1ling4yuan2
拧	ning3
田野	tian2ye3
亭	ting2
满堂	man3tang2
点评	dian3ping2
未曾	wei4ceng2
艰辛	jian1xin1
辈	bei4
死刑	si3xing2
豪华	hao2hua2
分成	fen1cheng2
疼痛	teng2tong4
林场	lin2chang3
曼谷	Man4gu3
城市化	cheng2shi4hua4
藏族	Zang4zu2
器官	qi4guan1
头顶	tou2ding3
人生观	ren2sheng1guan1
多半	duo1ban4
电池	dian4chi2
农作物	nong2zuo4wu4
灶	zao4
烦恼	fan2nao3
帽	mao4
港澳	Gang3-Ao4
转型	zhuan3xing2
批示	pi1shi4
领取	ling3qu3
惨	can3
温饱	wen1bao3
民国	Min2guo2
设有	she4you3
文化大革命	Wen2hua4 Da4ge2ming4
指引	zhi3yin3
伙	huo3
缓和	huan3he2
幼儿园	you4er2yuan2
伦理	lun2li3
大道	da4dao4
向往	xiang4wang3
登山	deng1shan1
伪	wei3
流血	liu2xue4
风向	feng1xiang4
反馈	fan3kui4
撰写	zhuan4xie3
郭	guo1
目录	mu4lu4
每逢	mei3feng2
教堂	jiao4tang2
丈夫	zhang4fu5
亚运会	Ya4yun4hui4
不容	bu4rong2
埃	ai1
赛季	sai4ji4
销售额	xiao1shou4e2
半岛	ban4dao3
开阔	kai1kuo4
裁	cai2
粉碎	fen3sui4
抱怨	bao4yuan4
什么的	shen2me5de5
歧视	qi2shi4
维	wei2
下达	xia4da2
保安	bao3’an1
永恒	yong3heng2
天文	tian1wen2
公报	gong1bao4
血肉	xue4rou4
罕见	han3jian4
建筑物	jian4zhu4wu4
医护	yi1hu4
汪	wang1
知识产权	zhi1shi5 chan3quan2
征集	zheng1ji2
年产	nian2chan3
激光	ji1guang1
飞跃	fei1yue4
羡慕	xian4mu4
男性	nan2xing4
浇	jiao1
亮点	liang4dian3
不至于	bu2zhi4yu2
人道主义	ren2dao4zhu3yi4
否	fou3
小时候	xiao3shi2hou5
小声	xiao3sheng1
裤子	ku4zi5
向来	xiang4lai2
扭转	niu3zhuan3
奴隶	nu2li4
无情	wu2qing2
郑重	zheng4zhong4
忙碌	mang2lu4
震动	zhen4dong4
盗版	dao4ban3
形式主义	xing2shi4zhu3yi4
驻地	zhu4di4
原材料	yuan2cai2liao4
意识形态	yi4shi2 xing2tai4
次日	ci4ri4
提拔	ti2ba2
不知不觉	bu4zhi1 bu4jue2
数据库	shu4ju4ku4
推翻	tui1fan1
开车	kai1 che1
童年	tong2nian2
生意	sheng1yi4
甭	beng2
颁奖	ban1jiang3
揉	rou2
亮相	liang4xiang4
携手	xie2shou3
结算	jie2suan4
高山	gao1shan1
洲	zhou1
先前	xian1qian2
颤抖	chan4dou3
溪	xi1
仓库	cang1ku4
大风	da4feng1
迅猛	xun4meng3
拣	jian3
卧	wo4
提取	ti2qu3
兜	dou1
折	zhe1
年内	nian2nei4
客运	ke4yun4
葬	zang4
上诉	shang4su4
反革命	fan3ge2ming4
体力	ti3li4
大部	da4bu4
墙壁	qiang2bi4
受过	shou4guo4
尽力	jin4li4
疑问	yi2wen4
永不	yong3bu4
基本法	ji1ben3fa3
代表性	dai4biao3xing4
学费	xue2fei4
刹	sha1
大妈	da4ma1
四人帮	si4ren2bang1
祝福	zhu4fu2
后期	hou4qi1
往事	wang3shi4
两旁	liang3pang2
上山	shang4shan1
转	zhuan3
公示	gong1shi4
防守	fang2shou3
贵族	gui4zu2
臂	bi4
暴雨	bao4yu3
无形	wu2xing2
堤	di1
中队	zhong1dui4
指明	zhi3ming2
正气	zheng4qi4
武力	wu3li4
延	yan2
交代	jiao1dai4
交待	jiao1dai4
起初	qi3chu1
海岸	hai3 an4
脆弱	cui4ruo4
各种各样	ge4zhong3 ge4yang4
余额	yu2e2
普法	pu3fa3
德育	de2yu4
佩服	pei4fu2
出任	chu1ren4
河边	he2bian1
美化	mei3hua4
刻苦	ke4ku3
元旦	yuan2dan4
蹦	beng4
变更	bian4geng1
侧面	ce4mian4
自然界	zi4ran2jie4
蛋白质	dan4bai2zhi4
筷子	kuai4zi5
舍不得	she3bu5de5
价钱	jia4qian5
分量	fen4liang4
女足	nü3zu2
生成	sheng1cheng2
咳嗽	ke2sou5
采集	cai3ji2
日后	ri4hou4
焦	jiao1
处境	chu3jing4
碑	bei1
特刊	te4kan1
航班	hang2ban1
家电	jia1dian4
莫名其妙	mo4 ming2 qi2 miao4
漫画	man4hua4
前期	qian2qi1
克隆	ke4long2
来回	lai2hui2
搅	jiao3
子弟	zi3di4
从实	cong2shi2
峰会	feng1hui4
评审	ping2shen3
因地制宜	yin1di4-zhi4yi2
售	shou4
上演	shang4yan3
事宜	shi4yi2
春季	chun1ji4
接轨	jie1gui3
神色	shen2se4
只管	zhi3guan3
定义	ding4yi4
兑现	dui4xian4
调度	diao4du4
问世	wen4shi4
陶瓷	tao2ci2
治沙	zhi4sha1
卡	ka3
挂牌	gua4pai2
攻坚	gong1jian1
佩	pei4
全会	quan2hui4
看好	kan4hao3
生育	sheng1yu4
兽	shou4
暗示	an4shi4
点燃	dian3ran2
感人	gan3ren2
总公司	zong3 gong1si1
传销	chuan2xiao1
负有	fu4you3
踊跃	yong3yue4
档	dang4
案子	an4zi5
天真	tian1zhen1
膨胀	peng2zhang4
窄	zhai3
版次	ban3ci4
劲儿	jin4r5
墩	dun1
上任	shang4ren4
往年	wang3nian2
边疆	bian1jiang1
玩具	wan2ju4
占	zhan4
聚焦	ju4jiao1
离退休	li2tui4xiu1
海口	Hai3kou3
事务所	shi4wu4suo3
管制	guan3zhi4
心愿	xin1yuan4
优点	you1dian3
腹	fu4
日夜	ri4ye4
理智	li3zhi4
择	ze2
雷阵雨	lei2zhen4yu3
预警	yu4jing3
征文	zheng1wen2
廉洁	lian2jie2
不正之风	bu4zheng4zhi1feng1
介入	jie4ru4
电站	dian4zhan4
根据地	gen1ju4di4
开除	kai1chu2
起伏	qi3fu2
妞	niu1
个头儿	ge4tou2r5
模	mo2
恰好	qia4hao3
中毒	zhong4du2
逐	zhu2
肝	gan1
罪恶	zui4e4
共建	gong4jian4
打量	da3liang5
倚	yi3
奥	ao4
嘱咐	zhu3fu4
反倒	fan3dao4
不服	bu4fu2
彩色	cai3se4
耗	hao4
有望	you3wang4
磁	ci2
赞助	zan4zhu4
水位	shui3wei4
以内	yi3nei4
好奇	hao4qi2
老家	lao3jia1
主角	zhu3jue2
禁毒	jin4du2
宣讲	xuan1jiang3
后边	hou4bian1
识别	shi2bie2
相连	xiang1lian2
谱	pu3
时而	shi2er2
大棚	da4peng2
工商局	gong1shang1ju2
半夜	ban4ye4
传媒	chuan2mei2
地铁	di4tie3
集装箱	ji2zhuang1xiang1
陵	ling2
年间	nian2jian1
逢	feng2
尸	shi1
知青	zhi1qing1
齐全	qi2quan1
烫	tang4
担忧	dan1you1
有无	you3wu2
物业	wu4ye4
自律	zi4lü4
风景区	feng1jing3qu1
定点	ding4dian3
分流	fen1liu2
党报	dang3bao4
柏林	Bo2lin2
共计	gong4ji4
救济	jiu4ji4
示威	shi4wei1
拖拉机	tuo1la1ji1
挫折	cuo4zhe2
苦难	ku3nan4
电流	dian4liu2
方才	fang1cai2
为难	wei2nan2
剥削	bo1xue1
互补	hu4bu3
垂直	chui2zhi2
漏洞	lou4dong4
探测	tan4ce4
外语	wai4yu3
子弹	zi3dan4
无关	wu2guan1
纽带	niu3dai4
畜	xu4
有待	you3dai4
嚼	jiao2
天才	tian1cai2
征管	zheng1guan3
吸纳	xi1na4
站住	zhan4zhu4
诞辰	dan4chen2
省份	sheng3fen4
突破口	tu1po4kou3
负面	fu4mian4
讲解	jiang3jie3
引人注目	yin3ren2 zhu4mu4
皮鞋	pi2xie2
反倾销	fan3 qing1xiao1
蛮	man2
政治家	zheng4zhi4jia1
手枪	shou3qiang1
宁静	ning2jing4
死者	si3zhe3
测定	ce4ding4
卵	luan3
竞技	jing4ji4
电器	dian4qi4
迈进	mai4jin4
各处	ge4chu4
简化	jian3hua4
被子	bei4zi5
牲畜	sheng1chu4
耽误	dan1wu5
宴会	yan4hui4
自在	zi4zai5
详	xiang2
顺应	shun4ying4
展望	zhan3wang4
航线	hang2xian4
水分	shui3fen4
传授	chuan2shou4
钢琴	gang1qin2
公寓	gong1yu4
旋转	xuan2zhuan3
兵力	bing1li4
骨头	gu3tou5
颈	jing3
贺	he4
昼夜	zhou4ye4
保守	bao3shou3
核电站	he2dian4zhan4
祖父	zu3fu4
消费品	xiao1fei4pin3
庭	ting2
花费	hua1fei4
径	jing4
忽略	hu1lüe4
赠	zeng4
遇见	yu4jian4
名将	ming2jiang4
子孙	zi3sun1
女工	nü3gong1
夺冠	duo2guan4
贺电	he4dian4
自然保护区	zi4ran2 bao3hu4qu1
通车	tong1che1
奶牛	nai3niu2
亿万	yi4wan4
品德	pin3de2
翅膀	chi4bang3
道歉	dao4qian4
落	la4
摄氏度	she4shi4du4
租赁	zu1lin4
河道	he2dao4
纤维	xian1wei2
实物	shi2wu4
罪行	zui4xing2
文书	wen2shu1
辩论	bian4lun4
稀	xi1
瓦	wa3
柱子	zhu4zi5
持有	chi2you3
下一步	xia4 yi2 bu4
苍白	cang1bai2
物种	wu4zhong3
欣慰	xin1wei4
春风	chun1feng1
感叹	gan3tan4
凭着	ping2zhe5
逃避	tao2bi4
掌柜	zhang3gui4
跨国	kua4guo2
符号	fu2hao4
移交	yi2jiao1
华丽	hua2li4
片面	pian4mian4
安宁	an2ning2
抛弃	pao1qi4
少有	shao3you3
司令部	si1ling4bu4
死人	si3ren2
盈利	ying2li4
赢利	ying2li4
癌症	ai2zheng4
餐厅	can1ting1
陶	tao2
警示	jing3shi4
对口	dui4kou3
落户	luo4hu4
回升	hui2sheng1
年年	nian2nian2
分割	fen1ge1
当晚	dang4wan3
岭	ling3
兔	tu4
研究室	yan2jiu1shi4
懒	lan3
在校	zai4xiao4
太阳能	tai4yang2neng2
虾	xia1
青年人	qing1nian2ren2
西瓜	xi1gua1
粤	Yue4
汝	ru3
擒	qin2
不忍	bu4ren3
透明度	tou4ming2du4
播放	bo1fang4
强行	qiang2xing2
栋	dong4
参谋长	can1mou2zhang3
大战	da4zhan4
改编	gai3bian1
趣味	qu4wei4
照样	zhao4yang4
垫	dian4
富民	fu4min2
争端	zheng1duan1
方略	fang1lüe4
社论	she4lun4
西洋	Xi1yang2
阴谋	yin1mou2
敞开	chang3kai1
卒	zu2
国务卿	guo2wu4qing1
内需	nei4xu1
网点	wang3dian3
观光	guan1guang1
竞	jing4
寿命	shou4ming4
老大	lao3 da4
晨	chen2
照例	zhao4li4
历经	li4jing1
电灯	dian4deng1
半决赛	ban4jue2sai4
快活	kuai4huo5
拨款	bo1kuan3
热带	re4dai4
董	dong3
极力	ji2li4
怀念	huai2nian4
转阴	zhuan3yin1
客商	ke4shang1
巨额	ju4’e2
薪	xin1
多方	duo1fang1
就算	jiu4suan4
饮料	yin3liao4
挪用	nuo2yong4
直升机	zhi2sheng1ji1
舌头	she2tou5
寒冷	han2leng3
车厢	che1xiang1
短暂	duan3zan4
一共	yi2gong4
映	ying4
护工	hu4gong1
门票	men2piao4
盛会	sheng4hui4
轰炸	hong1zha4
遗留	yi2liu2
总的	zong3 de5
三通	san1tong1
楼梯	lou2ti1
水准	shui3zhun3
此地	ci3di4
睡眠	shui4mian2
婚礼	hun1li3
将要	jiang1yao4
烤	kao3
织	zhi1
骑兵	qi2bing1
农业税	nong2ye4shui4
征地	zheng1di4
繁重	fan2zhong4
体操	ti3cao1
麦子	mai4zi5
世上	shi4shang4
风暴	feng1bao4
真相	zhen1xiang4
南下	nan2xia4
行走	xing2zou3
降价	jiang4jia4
乘坐	cheng2zuo4
源泉	yuan2quan2
趴	pa1
聘	pin4
肚	du4
直线	zhi2xian4
机电	ji1dian4
抗洪	kang4hong2
讽刺	feng3ci4
本能	ben3neng2
馆长	guan3zhang3
阿姨	a1yi2
胶	jiao1
流露	liu2lu4
支书	zhi1shu1
储	chu3
颇为	po1wei2
真心	zhen1xin1
老爷子	lao3ye2zi5
增值	zeng1zhi2
挽	wan3
剥	bo1
第一线	di4yi1xian4
辛勤	xin1qin2
常用	chang2yong4
茶叶	cha2ye4
剧团	ju4tuan2
柜台	gui4tai2
晃	huang3
惊喜	jing1xi3
纪念馆	ji4nian4guan3
一番	yi4 fan1
掠	lüe4
兼并	jian1bing4
勤奋	qin2fen4
勾	gou1
只顾	zhi3gu4
卡车	ka3che1
做饭	zuo4fan4
出面	chu1mian4
天堂	tian1tang2
右派	you4pai4
起源	qi3yuan2
教会	jiao4hui4
名词	ming2ci2
想来	xiang3lai2
公款	gong1kuan3
尺度	chi3du4
女生	nü3sheng1
分化	fen1hua4
导师	dao3shi1
高压	gao1ya1
弦	xian2
用途	yong4tu2
传奇	chuan2qi2
沙滩	sha1tan1
怕是	pa4shi4
经纬	jing1wei3
牧民	mu4min2
憋	bie1
再见	zai4jian4
储量	chu3liang4
坚信	jian1xin4
孤立	gu1li4
油画	you2hua4
互访	hu4fang3
纺织品	fang3zhi1pin3
双向	shuang1xiang4
鬼子	gui3zi5
当面	dang1mian4
地形	di4xing2
局限	ju2xian4
难怪	nan2guai4
标语	biao1yu3
请问	qing3wen4
勒	le4
不如	bu4ru2
干吗	gan4ma2
签约	qian1yue1
惩治	cheng2zhi4
糟	zao1
拳头	quan2tou5
冰雪	bing1-xue3
驻军	zhu4jun1
心目中	xin1mu4 zhong1
浓度	nong2du4
团队	tuan2dui4
网球	wang3qiu2
连锁	lian2suo3
三国	san1guo2
推迟	tui1chi2
最快	zui4'kuai4
田间	tian2jian1
竭力	jie2li4
后代	hou4dai4
图像	tu2xiang4
氢	qing1
简报	jian3bao4
女排	nü3pai2
数字化	shu4zi4hua4
临近	lin2jin4
剥夺	bo1duo2
绳	sheng2
治病	zhi4bing4
专程	zhuan1cheng2
将领	jiang4ling3
山村	shan1cun1
削	xue1
再三	zai4san1
革新	ge2xin1
友人	you3ren2
黑人	hei1ren2
幸运	xing4yun4
扒	pa2
华夏	Hua2xia4
平方	ping2fang1
衔接	xian2jie1
肿瘤	zhong3liu2
密集	mi4ji2
规格	gui1ge2
亲密	qin1mi4
冷笑	leng3xiao4
修正案	xiu1zheng4an4
脱贫致富	tuo1pin2zhi4fu4
提名	ti2ming2
器材	qi4cai2
传真	chuan2zhen1
公务	gong1wu4
编者	bian1zhe3
上千	shang4qian1
社团	she4tuan2
不解	bu4jie3
输送	shu1song4
徘徊	pai2huai2
色情	se4qing2
自然灾害	zi4ran2 zai1hai4
味儿	wei4r5
自来水	zi4lai2shui3
发给	fa1gei3
思潮	si1chao2
繁华	fan2hua2
损	sun3
坛	tan2
团中央	tuan2zhong1yang1
吼	hou3
爱尔兰	Ai4er3lan2
阵容	zhen4rong2
眉头	mei2tou2
声称	sheng1cheng1
势必	shi4bi4
读物	du4wu4
纯洁	chun2jie2
救治	jiu4zhi4
中国人民解放军	Zhong1guo2 Ren2min2 Jie3fang4jun1
奋战	fen4zhan4
剩余	sheng4yu2
外科	wai4ke1
光线	guang1xian4
粪	fen4
获胜	huo4sheng4
吞	tun1
唇	chun2
征服	zheng1fu2
揪	jiu1
雇	gu4
// 20k words/08
手臂	shou3bi4
摧毁	cui1hui3
珍珠	zhen1zhu1
挣钱	zheng4qian2
低保	di1bao3
拎	lin1
同等	tong2deng3
毫米	hao2mi3
改良	gai3liang2
仇	chou2
招待	zhao1dai4
陆地	lu4di4
一心	yi4xin1
姚	Yao2
辨	bian4
帐篷	zhang4peng5
申诉	shen1su4
越发	yue4fa1
证件	zheng4jian4
逗	dou4
固体	gu4ti3
江山	jiang1shan1
相声	xiang4sheng5
光芒	guang1mang2
揭开	jie1kai1
吸烟	xi1yan1
社会效益	she4hui4 xiao4yi4
心事	xin1shi4
硬件	ying4jian4
诚意	cheng2yi4
信赖	xin4lai4
沉思	chen2si1
一连	yi4lian2
变迁	bian4qian1
进化	jin4hua4
系统工程	xi4tong3 gong1cheng2
匪	fei3
因特网	yin1te4wang3
生效	sheng1xiao4
美德	mei3de2
渔民	yu2min2
燕	yan4
熟人	shu2ren2
源于	yuan2yu2
马列主义	Ma3-Lie4zhu3yi4
区分	qu1fen1
修理	xiu1li3
清新	qing1xin1
雨水	yu3shui3
理财	li3cai2
体育场	ti3yu4chang3
桂	gui4
结局	jie2ju2
十足	shi2zu2
名列	ming2lie4
更换	geng1huan4
审视	shen3shi4
削弱	xue1ruo4
管辖	guan3xia2
精美	jing1mei3
砂	sha1
依次	yi1ci4
尽早	jin3zao3
资本家	zi1ben3jia1
芯片	xin1pian4
告知	gao4zhi1
除非	chu2fei1
借款	jie4kuan3
一角	yi1jiao3
企事业	qi3-shi4ye4
企业界	qi3ye4jie4
参展	can1zhan3
联网	lian2wang3
民用	min2yong4
投向	tou2xiang4
可知	ke3zhi1
辅助	fu3zhu4
与其	yu3qi2
机械化	ji1xie4hua4
温馨	wen1xin1
都会	du1hui4
性命	xing4ming4
玫瑰	mei2gui5
细菌	xi4jun1
手下	shou3xia4
书房	shu1fang2
起床	qi3chuang2
谨	jin3
明日	ming2ri4
主线	zhu3xian4
主席团	zhu3xi2tuan2
扩建	kuo4jian4
两地	liang3di4
适度	shi4du4
忌	ji4
汉族	Han4zu2
排队	pai2dui4
视线	shi4xian4
白云	bai2yun2
削减	xue1jian3
绿地	lü4di4
有期徒刑	you3qi1-tu2xing2
温室	wen1shi4
缝	feng4
语气	yu3qi4
流泪	liu2lei4
祖先	zu3xian1
剧场	ju4chang3
屋顶	wu1ding3
哈萨克斯坦	Ha1sa4ke4si1tan3
检察官	jian3cha2guan1
故障	gu4zhang4
自动化	zi4dong4hua4
动荡	dong4dang4
性别	xing4bie2
模仿	mo2fang3
预定	yu4ding4
常识	chang2shi2
将近	jiang1jin4
疲劳	pi2lao2
拥挤	yong1ji3
拥抱	yong1bao4
位居	wei4ju1
特种	te4zhong3
经商	jing1//shang1
机器人	ji1qi4 ren2
肾	shen4
语文	yu3wen2
叩	kou4
霸	ba4
出自	chu1zi4
通关	tong1guan1
谋求	mou2qiu2
第三产业	di4-san1 chan3ye4
明朝	ming2zhao1
这般	zhe4ban1
扁	bian3
出院	chu1yuan4
酝酿	yun4niang4
疑惑	yi2huo4
离去	li2//qu4
桑	sang1
献给	xian4gei3
激起	ji1qi3
携	xie2
朝阳	zhao1yang2
要务	yao4wu4
平壤	Ping2rang3
邮件	you2jian4
外人	wai4ren2
高档	gao1dang4
储存	chu3cun2
了不起	liao3bu5qi3
鲜血	xian1xue4
学期	xue2qi1
饰	shi4
头儿	tou2r5
养老金	yang3lao3jin1
辣	la4
生产关系	sheng1chan3 guan1xi4
日渐	ri4jian4
盟	meng2
摸索	mo1suo5
痰	tan2
献策	xian4ce4
如一	ru2yi1
正	zheng1
联手	lian2shou3
猛然	meng3ran2
超级	chao1ji2
歹徒	dai3tu2
取向	qu3xiang4
高产	gao1chan3
杜	du4
村长	cun1zhang3
溶液	rong2ye4
离子	li2zi3
民情	min2qing2
构造	gou4zao4
好久	hao3jiu3
残疾	can2ji2
水土流失	shui3tu3 liu2shi1
蜀	Shu3
称呼	cheng1hu5
挽救	wan3jiu4
洗澡	xi3zao3
桃	tao2
乡里	xiang1li3
悬挂	xuan2gua4
法案	fa3an4
案例	an4li4
投放	tou2fang4
胆	dan3
绣	xiu4
亲身	qin1shen2
厂房	chang3fang2
急剧	ji2ju4
现实主义	xian4shi2zhu3yi4
正值	zheng4zhi2
大为	da4wei2
竖	shu4
丫头	ya1tou5
西宁	Xi1ning2
少儿	shao4er2
本科	ben3ke1
迫	po4
激	ji1
简	jian3
勘探	kan1tan4
稻	dao4
腾	teng2
扰乱	rao3luan4
伙计	huo3ji5
惯例	guan4li4
兵团	bing1tuan2
军营	jun1ying2
精确	jing1que4
理论上	li3lun4shang5
遮	zhe1
有的是	you3de5shi4
缕	lü3
潘	Pan1
下雨	xia4yu3
建材	jian4cai2
出境	chu1jing4
不得已	bu4de2yi3
市中心	shi4zhong1xin1
行径	xing2jing4
四面	si4mian4
改组	gai3zu3
打倒	da3dao3
耸	song3
停火	ting2huo3
查办	cha2ban4
下跌	xia4die1
午饭	wu3fan4
况	kuang4
阔	kuo4
展览会	zhan3lan3hui4
小品	xiao3pin3
场景	chang3jing3
接见	jie1jian4
军阀	jun1fa2
裂	lie4
笼罩	long3zhao4
邻	lin2
招商	zhao1shang1
备战	bei4zhan4
全长	quan2chang2
对应	dui4ying4
罩	zhao4
必需	bi4xu1
大脑	da4nao3
胃	wei4
赖	lai4
绘	hui4
气势	qi4shi4
破获	po4huo4
在线	zai4xian4
核算	he2suan4
研	yan2
使劲	shi3jin4
苦恼	ku3’nao3
正规	zheng4gui1
潜	qian2
全程	quan2cheng2
表态	biao3tai4
海底	hai3di3
大伙儿	da4huo3r5
漫	man4
追赶	zhui1gan3
民政	min2zheng4
解难	jie3nan4
春运	chun1yun4
车型	che1xing2
曝光	bao4guang1
沿线	yan2xian4
销毁	xiao1hui3
提请	ti2qing3
春耕	chun1geng1
情愿	qing2yuan4
档次	dang4ci4
多媒体	duo1mei2ti3
弥漫	mi2man4
免得	mian3de5
书画	shu1hua4
稍稍	shao1shao1
开业	kai1ye4
雄厚	xiong2hou4
往日	wang3ri4
挽回	wan3hui2
内战	nei4zhan4
官司	guan1si5
脉	mai4
农副产品	nong2fu4 chan3pin3
矿山	kuang4shan1
贾	Jia3
开花	kai1hua1
一经	yi1jing1
增值税	zeng1zhi2shui4
许久	xu3jiu3
集资	ji2zi1
坦克	tan3ke4
立体	li4ti3
吱	zhi1
公证	gong1zheng4
入境	ru4jing4
诚恳	cheng2ken3
筒	tong3
商议	shang1yi4
序幕	xu4mu4
分享	fen1xiang3
翘	qiao4
部落	bu4luo4
开学	kai1xue2
书写	shu1xie3
服饰	fu2shi4
气质	qi4zhi4
陆军	lu4jun1
限于	xian4yu2
台下	tai2xia4
以免	yi3mian3
知情	zhi1qing2
指南	zhi3nan2
多元	duo1yuan2
高等学校	gao1deng3 xue2xiao4
属性	shu3xing4
充当	chong1dang1
揭	jie1
排斥	pai2chi4
聚会	ju4hui4
梨	li2
泥土	ni2tu3
彩票	cai3piao4
挂钩	gua4gou1
岩石	yan2shi2
职员	zhi2yuan2
而今	er2jin1
出版物	chu1ban3wu4
成才	cheng2cai2
专职	zhuan1zhi2
卧室	wo4shi4
驱	qu1
剧院	ju4yuan4
文本	wen2ben3
重量	zhong4liang4
无穷	wu2qiong2
电路	dian4lu4
灾民	zai1min2
市政	shi4zheng4
均衡	jun1heng2
好些	hao3xie1
职称	zhi2cheng1
本市	ben3shi4
旋	xuan2
税款	shui4kuan3
品位	pin3wei4
神仙	shen2xian1
鹿	lu4
帝国	di4guo2
悉	xi1
动静	dong4jing5
朦胧	meng2long2
震撼	zhen4han4
国营	guo2ying2
利害	li4hai4
蝴蝶	hu2die2
惊奇	jing1qi2
喇叭	la3ba5
保姆	bao3mu3
风俗	feng1su2
周到	zhou1dao4
出访	chu1fang3
液体	ye4ti3
公仆	gong1pu2
寡妇	gua3fu5
疲倦	pi2juan4
命题	ming4ti2
观赏	guan1shang3
燃	ran2
站立	zhan4li4
植	zhi2
当务之急	dang1wu4 zhi1ji2
眉毛	mei2mao5
抽调	chou1diao4
练兵	lian4bing1
食用	shi2yong4
